"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete a report (soft delete)","172","Delete Report","QA|Nova Bank - Infopool","Fri Sep 26 18:55:04 UTC 2025","broken","Fri Sep 26 18:55:04 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","172","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Sep 26 18:54:30 UTC 2025","broken","Fri Sep 26 18:54:30 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","170","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Sep 26 18:54:38 UTC 2025","broken","Fri Sep 26 18:54:38 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","165","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Sep 26 18:54:46 UTC 2025","broken","Fri Sep 26 18:54:46 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Create a new report","170","Create Report","QA|Nova Bank - Infopool","Fri Sep 26 18:55:03 UTC 2025","broken","Fri Sep 26 18:55:03 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","170","No auth - get user role","QA|Nova Bank - Infopool","Fri Sep 26 18:54:49 UTC 2025","broken","Fri Sep 26 18:54:49 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","180","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Sep 26 18:54:29 UTC 2025","broken","Fri Sep 26 18:54:29 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","161","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Sep 26 18:54:43 UTC 2025","broken","Fri Sep 26 18:54:43 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","170","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Fri Sep 26 18:55:06 UTC 2025","broken","Fri Sep 26 18:55:06 UTC 2025","","corporate Adjustment","",""
"","167","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri Sep 26 18:54:35 UTC 2025","broken","Fri Sep 26 18:54:35 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","172","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Sep 26 18:54:47 UTC 2025","broken","Fri Sep 26 18:54:47 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a specific report by ID","166","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Fri Sep 26 18:55:02 UTC 2025","broken","Fri Sep 26 18:55:02 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","164","No auth - Update role status","QA|Nova Bank - Infopool","Fri Sep 26 18:54:58 UTC 2025","broken","Fri Sep 26 18:54:58 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","161","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri Sep 26 18:55:01 UTC 2025","broken","Fri Sep 26 18:55:01 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","171","Update definition","QA|Nova Bank - Infopool","Fri Sep 26 18:54:46 UTC 2025","broken","Fri Sep 26 18:54:46 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","172","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Sep 26 18:54:32 UTC 2025","broken","Fri Sep 26 18:54:32 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"Get a paginated list of reports with optional filtering","173","Get Reports","QA|Nova Bank - Infopool","Fri Sep 26 18:55:00 UTC 2025","broken","Fri Sep 26 18:55:00 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","172","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Sep 26 18:54:41 UTC 2025","broken","Fri Sep 26 18:54:41 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","165","Get Issue by ID","QA|Nova Bank - Infopool","Fri Sep 26 18:54:38 UTC 2025","broken","Fri Sep 26 18:54:38 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","164","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:55 UTC 2025","broken","Fri Sep 26 18:54:55 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","170","Add attachment to issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:39 UTC 2025","broken","Fri Sep 26 18:54:39 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","165","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri Sep 26 18:54:46 UTC 2025","broken","Fri Sep 26 18:54:46 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","170","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Sep 26 18:54:42 UTC 2025","broken","Fri Sep 26 18:54:43 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","167","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Sep 26 18:54:41 UTC 2025","broken","Fri Sep 26 18:54:42 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","161","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Sep 26 18:54:51 UTC 2025","broken","Fri Sep 26 18:54:51 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","166","Create  organization","QA|Nova Bank - Infopool","Fri Sep 26 18:54:49 UTC 2025","broken","Fri Sep 26 18:54:50 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","170","Get all Issues","QA|Nova Bank - Infopool","Fri Sep 26 18:54:37 UTC 2025","broken","Fri Sep 26 18:54:37 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","163","Get permission by ID - No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:59 UTC 2025","broken","Fri Sep 26 18:54:59 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","173","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:54 UTC 2025","broken","Fri Sep 26 18:54:54 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","181","Update profile - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:32 UTC 2025","broken","Fri Sep 26 18:54:32 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","166","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Sep 26 18:54:40 UTC 2025","broken","Fri Sep 26 18:54:40 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","169","No Auth - Update definition","QA|Nova Bank - Infopool","Fri Sep 26 18:54:46 UTC 2025","broken","Fri Sep 26 18:54:47 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Create a new report","170","Create Report - Duplicate name","QA|Nova Bank - Infopool","Fri Sep 26 18:55:03 UTC 2025","broken","Fri Sep 26 18:55:03 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","168","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Sep 26 18:54:50 UTC 2025","broken","Fri Sep 26 18:54:50 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","171","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Sep 26 18:54:44 UTC 2025","broken","Fri Sep 26 18:54:44 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Update an existing report","174","Update Report - No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:55:04 UTC 2025","broken","Fri Sep 26 18:55:04 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","164","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Sep 26 18:54:33 UTC 2025","broken","Fri Sep 26 18:54:33 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","163","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:32 UTC 2025","broken","Fri Sep 26 18:54:32 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","177","Invalid email format","QA|Nova Bank - Infopool","Fri Sep 26 18:54:27 UTC 2025","broken","Fri Sep 26 18:54:27 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","168","Get role by ID - no auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:58 UTC 2025","broken","Fri Sep 26 18:54:58 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","170","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:33 UTC 2025","broken","Fri Sep 26 18:54:33 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","163","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Sep 26 18:54:48 UTC 2025","broken","Fri Sep 26 18:54:48 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","170","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Sep 26 18:54:30 UTC 2025","broken","Fri Sep 26 18:54:30 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","167","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Sep 26 18:54:34 UTC 2025","broken","Fri Sep 26 18:54:34 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","172","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:58 UTC 2025","broken","Fri Sep 26 18:54:59 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","171","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Sep 26 18:54:43 UTC 2025","broken","Fri Sep 26 18:54:43 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","159","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Sep 26 18:54:45 UTC 2025","broken","Fri Sep 26 18:54:45 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","189","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Sep 26 18:54:28 UTC 2025","broken","Fri Sep 26 18:54:29 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","168","Get roles - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:57 UTC 2025","broken","Fri Sep 26 18:54:57 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","177","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Sep 26 18:54:41 UTC 2025","broken","Fri Sep 26 18:54:41 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","161","No auth - category by id","QA|Nova Bank - Infopool","Fri Sep 26 18:55:00 UTC 2025","broken","Fri Sep 26 18:55:00 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","206","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:37 UTC 2025","broken","Fri Sep 26 18:54:37 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","171","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Sep 26 18:54:44 UTC 2025","broken","Fri Sep 26 18:54:44 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","164","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Sep 26 18:54:53 UTC 2025","broken","Fri Sep 26 18:54:54 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","160","No auth - update role","QA|Nova Bank - Infopool","Fri Sep 26 18:54:49 UTC 2025","broken","Fri Sep 26 18:54:49 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Update an existing report","169","Update Report","QA|Nova Bank - Infopool","Fri Sep 26 18:55:03 UTC 2025","broken","Fri Sep 26 18:55:04 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","188","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Sep 26 18:54:29 UTC 2025","broken","Fri Sep 26 18:54:30 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","170","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Sep 26 18:54:42 UTC 2025","broken","Fri Sep 26 18:54:42 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","175","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Sep 26 18:54:41 UTC 2025","broken","Fri Sep 26 18:54:41 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","174","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Sep 26 18:54:34 UTC 2025","broken","Fri Sep 26 18:54:34 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","168","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:52 UTC 2025","broken","Fri Sep 26 18:54:52 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","170","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:47 UTC 2025","broken","Fri Sep 26 18:54:47 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","169","update role","QA|Nova Bank - Infopool","Fri Sep 26 18:54:49 UTC 2025","broken","Fri Sep 26 18:54:49 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","170","Update user - empty action field","QA|Nova Bank - Infopool","Fri Sep 26 18:54:48 UTC 2025","broken","Fri Sep 26 18:54:49 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","161","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Sep 26 18:54:51 UTC 2025","broken","Fri Sep 26 18:54:51 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","173","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Sep 26 18:54:53 UTC 2025","broken","Fri Sep 26 18:54:53 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","163","get all category","QA|Nova Bank - Infopool","Fri Sep 26 18:54:59 UTC 2025","broken","Fri Sep 26 18:54:59 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","173","Create_issue_without_attachment","QA|Nova Bank - Infopool","Fri Sep 26 18:54:37 UTC 2025","broken","Fri Sep 26 18:54:37 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","169","Logout session - no session","QA|Nova Bank - Infopool","Fri Sep 26 18:55:00 UTC 2025","broken","Fri Sep 26 18:55:00 UTC 2025","v1 > Logout","Bank Admin","",""
"","173","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Sep 26 18:54:51 UTC 2025","broken","Fri Sep 26 18:54:52 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","183","Weak password - Change password","QA|Nova Bank - Infopool","Fri Sep 26 18:54:31 UTC 2025","broken","Fri Sep 26 18:54:31 UTC 2025","v1 > Profile > Password","Bank User","",""
"","162","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:56 UTC 2025","broken","Fri Sep 26 18:54:56 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","172","Update user - invalid action","QA|Nova Bank - Infopool","Fri Sep 26 18:54:48 UTC 2025","broken","Fri Sep 26 18:54:48 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","171","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:31 UTC 2025","broken","Fri Sep 26 18:54:31 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","168","get user role","QA|Nova Bank - Infopool","Fri Sep 26 18:54:49 UTC 2025","broken","Fri Sep 26 18:54:49 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","161","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Sep 26 18:54:38 UTC 2025","broken","Fri Sep 26 18:54:38 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","162","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Sep 26 18:54:36 UTC 2025","broken","Fri Sep 26 18:54:36 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","171","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Sep 26 18:54:46 UTC 2025","broken","Fri Sep 26 18:54:46 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","175","Create roles - No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:57 UTC 2025","broken","Fri Sep 26 18:54:57 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","162","Search Customers","QA|Nova Bank - Infopool","Fri Sep 26 18:54:42 UTC 2025","broken","Fri Sep 26 18:54:42 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","179","Get Report Data - Question","QA|Nova Bank - Infopool","Fri Sep 26 18:55:04 UTC 2025","broken","Fri Sep 26 18:55:05 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get a specific report by ID","161","Get Report by UUID","QA|Nova Bank - Infopool","Fri Sep 26 18:55:02 UTC 2025","broken","Fri Sep 26 18:55:02 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","163","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Sep 26 18:54:44 UTC 2025","broken","Fri Sep 26 18:54:44 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","165","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri Sep 26 18:54:52 UTC 2025","broken","Fri Sep 26 18:54:52 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","173","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Sep 26 18:54:59 UTC 2025","broken","Fri Sep 26 18:54:59 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get a specific report by ID","172","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:55:02 UTC 2025","broken","Fri Sep 26 18:55:02 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","169","Get profile roles - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:30 UTC 2025","broken","Fri Sep 26 18:54:30 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","170","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Sep 26 18:54:51 UTC 2025","broken","Fri Sep 26 18:54:51 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","162","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Sep 26 18:54:31 UTC 2025","broken","Fri Sep 26 18:54:32 UTC 2025","v1 > Profile > Password","Bank User","",""
"","175","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Sep 26 18:54:33 UTC 2025","broken","Fri Sep 26 18:54:33 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","169","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Sep 26 18:54:52 UTC 2025","broken","Fri Sep 26 18:54:52 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","170","Logout session successfully","QA|Nova Bank - Infopool","Fri Sep 26 18:55:00 UTC 2025","broken","Fri Sep 26 18:55:00 UTC 2025","v1 > Logout","Bank Admin","",""
"Update an existing report","165","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri Sep 26 18:55:04 UTC 2025","broken","Fri Sep 26 18:55:04 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","172","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Sep 26 18:54:51 UTC 2025","broken","Fri Sep 26 18:54:51 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","170","category by id","QA|Nova Bank - Infopool","Fri Sep 26 18:55:00 UTC 2025","broken","Fri Sep 26 18:55:00 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","170","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Sep 26 18:54:47 UTC 2025","broken","Fri Sep 26 18:54:47 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","171","Update profile","QA|Nova Bank - Infopool","Fri Sep 26 18:54:33 UTC 2025","broken","Fri Sep 26 18:54:33 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","166","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Fri Sep 26 18:55:06 UTC 2025","broken","Fri Sep 26 18:55:06 UTC 2025","","corporate Adjustment","",""
"","174","Export Report Data","QA|Nova Bank - Infopool","Fri Sep 26 18:55:05 UTC 2025","broken","Fri Sep 26 18:55:05 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","163","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:54 UTC 2025","broken","Fri Sep 26 18:54:54 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","171","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:37 UTC 2025","broken","Fri Sep 26 18:54:37 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","170","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Sep 26 18:54:40 UTC 2025","broken","Fri Sep 26 18:54:41 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Get a specific report by ID","171","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:55:02 UTC 2025","broken","Fri Sep 26 18:55:02 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","166","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Fri Sep 26 18:55:05 UTC 2025","broken","Fri Sep 26 18:55:05 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Create a new report","171","Create Report - Empty category","QA|Nova Bank - Infopool","Fri Sep 26 18:55:03 UTC 2025","broken","Fri Sep 26 18:55:03 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","169","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Sep 26 18:54:45 UTC 2025","broken","Fri Sep 26 18:54:45 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","174","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:40 UTC 2025","broken","Fri Sep 26 18:54:40 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","261","Successful login","QA|Nova Bank - Infopool","Fri Sep 26 18:54:27 UTC 2025","broken","Fri Sep 26 18:54:27 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","191","Invalid credentials","QA|Nova Bank - Infopool","Fri Sep 26 18:54:27 UTC 2025","broken","Fri Sep 26 18:54:27 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","174","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:37 UTC 2025","broken","Fri Sep 26 18:54:37 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","173","Get all permissions","QA|Nova Bank - Infopool","Fri Sep 26 18:54:59 UTC 2025","broken","Fri Sep 26 18:54:59 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","170","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Sep 26 18:54:54 UTC 2025","broken","Fri Sep 26 18:54:54 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","164","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:53 UTC 2025","broken","Fri Sep 26 18:54:53 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","172","Create roles - empty name field","QA|Nova Bank - Infopool","Fri Sep 26 18:54:57 UTC 2025","broken","Fri Sep 26 18:54:57 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","174","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Sep 26 18:54:42 UTC 2025","broken","Fri Sep 26 18:54:42 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","177","verifyOTP","QA|Nova Bank - Infopool","Fri Sep 26 18:54:28 UTC 2025","broken","Fri Sep 26 18:54:28 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
